Java HotSpot(TM) 64-Bit Server VM (24.80-b11) for linux-amd64 JRE (1.7.0_80-b15), built on Apr 10 2015 10:18:45 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2024-01-15T10:00:01.123+0000: 1.123: [GC [PSYoungGen: 262144K->32768K(305664K)] 262144K->32768K(1005568K), 0.0356780 secs] [Times: user=0.14 sys=0.01, real=0.04 secs]
2024-01-15T10:00:05.456+0000: 5.456: [GC [PSYoungGen: 294912K->40960K(305664K)] 294912K->40960K(1005568K), 0.0423100 secs] [Times: user=0.16 sys=0.01, real=0.04 secs]
2024-01-15T10:00:10.789+0000: 10.789: [GC [PSYoungGen: 303104K->49152K(305664K)] 303104K->49152K(1005568K), 0.0512340 secs] [Times: user=0.20 sys=0.01, real=0.05 secs]
2024-01-15T10:00:16.234+0000: 16.234: [GC [PSYoungGen: 311296K->57344K(305664K)] 392806K->139494K(1005568K), 0.0634560 secs] [Times: user=0.25 sys=0.01, real=0.06 secs]
2024-01-15T10:00:22.678+0000: 22.678: [GC [PSYoungGen: 319488K->65536K(305664K)] 401178K->147226K(1005568K), 0.0756780 secs] [Times: user=0.30 sys=0.02, real=0.08 secs]
2024-01-15T10:00:30.123+0000: 30.123: [GC [PSYoungGen: 327680K->73728K(305664K)] 409370K->155418K(1005568K), 0.0912340 secs] [Times: user=0.36 sys=0.02, real=0.09 secs]
2024-01-15T10:00:38.567+0000: 38.567: [GC [PSYoungGen: 305664K->57344K(305664K)] 553578K->407322K(1005568K), 0.1023450 secs] [Times: user=0.41 sys=0.02, real=0.10 secs]
2024-01-15T10:00:48.012+0000: 48.012: [Full GC [PSYoungGen: 57344K->0K(305664K)] [ParOldGen: 349978K->320123K(699904K)] 407322K->320123K(1005568K) [PSPermGen: 45678K->45678K(65536K)], 0.8234560 secs] [Times: user=3.28 sys=0.04, real=0.82 secs]
2024-01-15T10:01:00.456+0000: 60.456: [GC [PSYoungGen: 262144K->32768K(305664K)] 582267K->352891K(1005568K), 0.0612340 secs] [Times: user=0.24 sys=0.01, real=0.06 secs]
2024-01-15T10:01:12.789+0000: 72.789: [GC [PSYoungGen: 294912K->40960K(305664K)] 615059K->361107K(1005568K), 0.0723450 secs] [Times: user=0.29 sys=0.01, real=0.07 secs]
2024-01-15T10:01:25.234+0000: 85.234: [GC [PSYoungGen: 303104K->49152K(305664K)] 623251K->369299K(1005568K), 0.0834560 secs] [Times: user=0.33 sys=0.02, real=0.08 secs]
