Java HotSpot(TM) 64-Bit Server VM (25.292-b10) for linux-amd64 JRE (1.8.0_292-b10)
2024-01-15T10:00:01.123+0000: 1.123: [GC pause (G1 Evacuation Pause) (young) 256M->128M(1024M), 0.0082340 secs] [Times: user=0.06 sys=0.00, real=0.01 secs]
2024-01-15T10:00:03.456+0000: 3.456: [GC pause (G1 Evacuation Pause) (young) 384M->192M(1024M), 0.0112560 secs] [Times: user=0.09 sys=0.00, real=0.01 secs]
2024-01-15T10:00:07.789+0000: 7.789: [GC pause (G1 Evacuation Pause) (young) 448M->224M(1024M), 0.0143780 secs] [Times: user=0.11 sys=0.00, real=0.01 secs]
2024-01-15T10:00:13.012+0000: 13.012: [GC pause (G1 Evacuation Pause) (young) 480M->240M(1024M), 0.0189000 secs] [Times: user=0.15 sys=0.00, real=0.02 secs]
2024-01-15T10:00:19.345+0000: 19.345: [GC pause (G1 Evacuation Pause) (young) (initial-mark) 512M->256M(1024M), 0.0256780 secs] [Times: user=0.20 sys=0.00, real=0.03 secs]
2024-01-15T10:00:20.123+0000: 20.123: [GC remark, 0.0345670 secs] [Times: user=0.14 sys=0.00, real=0.03 secs]
2024-01-15T10:00:20.400+0000: 20.400: [GC cleanup 512M->490M(1024M), 0.0056780 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
2024-01-15T10:00:27.678+0000: 27.678: [GC pause (G1 Evacuation Pause) (mixed) 560M->300M(1024M), 0.0312340 secs] [Times: user=0.25 sys=0.00, real=0.03 secs]
2024-01-15T10:00:35.012+0000: 35.012: [GC pause (G1 Evacuation Pause) (young) 420M->210M(1024M), 0.0189000 secs] [Times: user=0.15 sys=0.00, real=0.02 secs]
2024-01-15T10:00:43.345+0000: 43.345: [GC pause (G1 Evacuation Pause) (young) 440M->220M(1024M), 0.0212340 secs] [Times: user=0.17 sys=0.00, real=0.02 secs]
2024-01-15T10:00:55.678+0000: 55.678: [GC pause (G1 Evacuation Pause) (young) 800M->450M(1024M), 0.1456780 secs] [Times: user=1.16 sys=0.00, real=0.15 secs]
2024-01-15T10:01:10.012+0000: 70.012: [Full GC (Allocation Failure) 900M->480M(1024M), 0.9234560 secs] [Times: user=0.92 sys=0.01, real=0.92 secs]
2024-01-15T10:01:22.345+0000: 82.345: [GC pause (G1 Evacuation Pause) (young) 600M->300M(1024M), 0.0312340 secs] [Times: user=0.25 sys=0.00, real=0.03 secs]
2024-01-15T10:01:35.678+0000: 95.678: [GC pause (G1 Evacuation Pause) (young) 640M->320M(1024M), 0.0345670 secs] [Times: user=0.28 sys=0.00, real=0.03 secs]
